p,a,total_time,poa
5,1,2003.3655767621244,1.4017575583110713
5,2,1968.8596210586818,1.3776136952163374
5,3,1898.2992690766916,1.3282425230972166
5,4,1838.85890201383,1.2866520192143378
5,5,1792.792533117661,1.2544193196346054
5,6,1754.321068464162,1.2275007846538366
5,7,1726.3002467364493,1.2078945784264186
5,8,1703.5640634365798,1.1919860407349365
5,9,1681.9770676949843,1.1768815911062687
5,10,1664.842978661595,1.1648928462231973
5,11,1651.682447776706,1.1556844052610167
5,12,1638.9980834016212,1.1468091386389934
5,13,1626.7809372616744,1.138260785237444
5,14,1615.0221741150056,1.130033163025889
5,15,1606.4986640081022,1.1240692516687802
5,16,1598.224446647748,1.118279770777963
5,17,1590.19591841989,1.1126621988998924
5,18,1584.9782965028278,1.1090114219056744
5,19,1577.351337032,1.103674828220939
5,20,1572.3981626704062,1.1002090855329678
5,21,1567.5489559038124,1.0968160891094831
5,22,1562.802691836125,1.0934951218293254
5,23,1558.15835234375,1.0902454713100622
5,24,1553.6149260530938,1.0870664298922448
5,25,1549.1714083180625,1.0839572946236653
5,26,1544.8268011975624,1.080917367243613
5,27,1540.580113433,1.0779459541671321
5,28,1538.4931813625938,1.0764857250220843
5,29,1534.3915285846717,1.073615793118636
5,30,1532.3765642148126,1.0722059198693699
5,31,1528.417753454,1.0694359347152567
5,32,1526.473665875,1.068075654050813
5,33,1524.55296338975,1.0667317359675654
5,34,1520.7812358384688,1.0640926531839612
5,35,1518.9299728637657,1.06279732201859
5,36,1517.1016191640624,1.0615180205034032
5,37,1515.296056804203,1.060254666119015
5,38,1513.5131682554374,1.0590071766304028
5,39,1511.7528363947188,1.0577754700864148
5,40,1510.014944504,1.0565594648192782
6,0,2004.1394142079998,1.402299013401067
6,1,1985.9319764441204,1.3895592449838388
6,2,1880.8921970183121,1.316062771628523
6,3,1795.004331937697,1.255966918210428
6,4,1734.4568566999208,1.2136017692652323
6,5,1689.2743627230084,1.181987518141958
6,6,1652.4821404402721,1.1562439512812148
6,7,1626.2814070756067,1.1379112633019337
6,8,1605.4368525242344,1.1233263007614283
6,9,1586.0278985672278,1.1097458298659877
6,10,1570.9146699813787,1.099171083725577
6,11,1559.4982740196292,1.0911830162886198
6,12,1548.6658687656236,1.083603567926513
6,13,1538.4035812879315,1.076423031730685
6,14,1528.697760513734,1.0696318560273306
6,15,1521.775488394344,1.064788333019551
6,16,1515.1530838299823,1.0601546277388147
6,17,1508.8250299106332,1.0557268799958472
6,18,1504.7671619251703,1.0528875843699113
6,19,1498.9176176926592,1.0487946504911883
6,20,1495.1737877178332,1.0461750876789302
6,21,1491.5528235726536,1.0436414942510734
6,22,1488.0531740088836,1.0411927847971638
6,23,1484.673300916616,1.0388278830996536
6,24,1481.411679268286,1.0365457220947276
6,25,1478.266797062684,1.0343452438331286
6,26,1475.2371552689683,1.0322253994409833
6,27,1472.3212677706783,1.0301851490806277
6,28,1470.9055209884218,1.029194549174299
6,29,1468.1575065773334,1.0272717598363108
6,30,1466.8248754305127,1.0263393160506311
6,31,1464.241462423735,1.0245316985341404
6,32,1462.9903218099496,1.0236562737827986
6,33,1461.765987270603,1.0227996052773909
6,34,1459.3970275867532,1.0211420410361514
6,35,1458.2520499916477,1.0203408986901648
6,36,1457.1331735662775,1.0195580193673537
6,37,1456.040224041103,1.0187932811310894
6,38,1454.9730279257396,1.0180465625899189
6,39,1453.931412507208,1.0173177428963411
6,40,1452.9152058481857,1.0166067017455827
7,0,2004.1394142079998,1.402299013401067
7,1,1923.1776296722148,1.3456499450913222
7,2,1792.7698846797236,1.2544034724924609
7,3,1707.054230642756,1.1944281153706273
7,4,1648.7583046206594,1.1536383784059496
7,5,1606.6155949697968,1.124151068418183
7,6,1573.3559228780373,1.1008792316239604
7,7,1550.3690486090725,1.0847952851280116
7,8,1532.5729094496664,1.072343302891314
7,9,1516.459801262137,1.0610689396638806
7,10,1504.2665932909729,1.0525373358308634
7,11,1495.2911181140819,1.0462571839132215
7,12,1486.9864391898489,1.040446389025648
7,13,1479.332915084403,1.0350912080307424
7,14,1472.3112921503441,1.0301781691258136
7,15,1467.4483944445278,1.0267755931339475
7,16,1462.9224989276588,1.023608818021863
7,17,1458.725904727245,1.0206724554788358
7,18,1456.107371164971,1.018840264062958
7,19,1452.4428206327743,1.0162761731821404
7,20,1450.1720948557956,1.0146873433361787
7,21,1448.0366919326327,1.0131931990709961
7,22,1446.0344745308328,1.0117922448922332
7,23,1444.1633279814619,1.0104830011632242
7,24,1442.4211601580957,1.0092640040203278
7,25,1440.8059013558075,1.0081338052882545
7,26,1439.3155041701589,1.0070909723953956
7,27,1437.9479433761887,1.006134088289153
7,28,1437.309599778204,1.0056874384247179
7,29,1436.1225444947586,1.0048568542642413
7,30,1435.573340234767,1.0044725753131454
7,31,1434.562357245688,1.0037651891711932
7,32,1434.100094089203,1.0034417430258427
7,33,1433.6663291230125,1.0031382371021407
7,34,1432.8833397240112,1.0025903783783718
7,35,1432.5336416207626,1.0023456941504696
7,36,1432.2114943593706,1.002120287283254
7,37,1431.9166644359136,1.0019139943937205
7,38,1431.6489196721823,1.0017266530264675
7,39,1431.4080292118979,1.0015581016510493
7,40,1431.193763516931,1.0014081796593317
8,0,2004.1394142079998,1.402299013401067
8,1,1848.2228591235628,1.2932039924570264
8,2,1716.3892960822961,1.2009598730732594
8,3,1633.7884489094251,1.1431639504565767
8,4,1579.8734249785437,1.1054395365112286
8,5,1542.452120193098,1.079255799786731
8,6,1514.1470600485063,1.0594507115610177
8,7,1495.4109955069987,1.0463410622844689
8,8,1481.499251540246,1.0366069965298792
8,9,1469.4659302724372,1.028187265635831
8,10,1460.8043193065384,1.0221267249240247
8,11,1454.7307325889656,1.0178770282205525
8,12,1449.3889246635847,1.0141393581111606
8,13,1444.7529383419928,1.010895552316603
8,14,1440.797438346212,1.0081278837091856
8,15,1438.262488438245,1.0063541758873833
8,16,1436.086189338147,1.0048314165128118
8,17,1434.2585264630443,1.0035525983685167
8,18,1433.2289112100243,1.0028321752067062
8,19,1431.9605650163455,1.0019447116882316
8,20,1431.2949401407016,1.0014789730775375
8,21,1430.7700248432848,1.0011116891458567
8,22,1430.3830809869048,1.000840944014956
8,23,1430.131406236688,1.00066484685753
8,24,1430.012333824148,1.000581531732123
8,25,1430.023232311256,1.000589157418046
8,26,1430.161505354511,1.0006859072502994
8,27,1430.4245914690111,1.0008699889544899
8,28,1430.6021484375333,1.0009942258014957
8,29,1431.0477270472843,1.0013059977473078
8,30,1431.3151298495504,1.001493099843669
8,31,1431.9376313154103,1.001928664947188
8,32,1432.2921238802396,1.0021767038662344
8,33,1432.6750437802975,1.0024446334295452
8,34,1433.5249765133576,1.0030393324931821
8,35,1433.9914000280876,1.0033656896467293
8,36,1434.4850722267568,1.0037111127406666
8,37,1435.005703635151,1.0040753992295013
8,38,1435.5530068397527,1.0044583480096128
8,39,1436.1266964803708,1.0048597594140958
8,40,1436.7264892427647,1.0052794352075998
9,0,2004.1394142079998,1.402299013401067
9,1,1780.4196641653755,1.2457620067741688
9,2,1650.9947709927412,1.1552032369007437
9,3,1573.8307250416492,1.101211451329273
9,4,1526.0077712007937,1.0677496669276834
9,5,1494.6022123325592,1.0457751556217232
9,6,1472.297657582599,1.0301686290006298
9,7,1458.5405861920372,1.020542787853298
9,8,1449.074535679928,1.013919379721194
9,9,1441.622091014165,1.0087048942776475
9,10,1436.8624878658075,1.0053745936250056
9,11,1433.9557275030309,1.0033407295335068
9,12,1431.81353046776,1.001841831419047
9,13,1430.4034355065319,1.0008551860994082
9,14,1429.6939140566471,1.0003587329973402
9,15,1429.6030766508104,1.0002951739436727
9,16,1429.8764969495037,1.0004864864902865
9,17,1430.5018797286123,1.0009240676525175
9,18,1431.1083914428739,1.0013484447055787
9,19,1432.2938147844607,1.0021778869941664
9,20,1433.262874419519,1.002855939309557
9,21,1434.3710319787888,1.0036313186275028
9,22,1435.6149839203663,1.0045017134553407
9,23,1436.991479468534,1.0054648492209777
9,24,1438.4973201886078,1.0065184879754119
9,25,1440.1293595617844,1.0076604280952521
9,26,1441.8845025599892,1.0088885039852384
9,27,1443.7597052207216,1.0102005857807612
9,28,1444.7413915448703,1.0108874730073005
9,29,1446.7910869293785,1.012321647593705
9,30,1447.8583664567298,1.013068424498354
9,31,1450.0759886085061,1.0146200976671398
9,32,1451.2256202516428,1.0154244964567232
9,33,1452.4019967255067,1.016247608639934
9,34,1454.8335957958154,1.0179490017431818
9,35,1456.0881317745889,1.0188268022359213
9,36,1457.3680393221748,1.0197223552491
9,37,1458.67298263708,1.0206354258219668
9,38,1460.002628896833,1.0215657810781957
9,39,1461.3566482446981,1.0225131902165903
9,40,1462.7347137763904,1.0234774245017875
10,0,2004.1394142079998,1.402299013401067
10,1,1720.0355394513124,1.203511154407653
10,2,1595.702558144,1.1165152020380629
10,3,1525.8921658799375,1.0676687777309382
10,4,1485.4981072626874,1.0394050011968992
10,5,1461.0613081908125,1.0223065403881175
10,6,1445.4769379059999,1.0114021357743765
10,7,1437.1632330078123,1.0055850254008236
10,8,1432.4725392966875,1.002302940773055
10,9,1429.8666142705624,1.0004795715666885
10,10,1429.181219594,1.0
10,11,1429.546882142,1.0002558545711255
10,12,1430.68143125,1.0010497000908158
10,13,1432.546110758,1.0023544188223772
10,14,1435.103489306,1.0041438199934383
10,15,1437.4543244560623,1.0057887024742829
10,16,1440.1596846080001,1.0076816465704181
10,17,1443.2051998049376,1.0098125976039074
10,18,1445.4176003845625,1.0113606172317147
10,19,1448.9991741439999,1.0138666491542827
10,20,1451.556444458,1.0156559745938702
10,21,1454.244848192,1.0175370542618243
10,22,1457.060603006,1.0195072416498168
10,23,1460.0,1.0215639416355857
10,24,1463.059402994,1.023704609979149
10,25,1466.235247808,1.0259267528190206
10,26,1469.524041542,1.0282279261684257
10,27,1472.922361856,1.0306057354115148
10,28,1474.6615441158124,1.0318226435516222
10,29,1478.2178899904375,1.0343110234896369
10,30,1480.0342413439998,1.0355819269472673
10,31,1483.741302158,1.0381757623287966
10,32,1485.6312248046875,1.039498143718068
10,33,1487.544891392,1.0408371387741717
10,34,1491.441928706,1.0435639009653983
10,35,1493.4245459189374,1.0449511408659482
10,36,1495.4294,1.0463539399326978
10,37,1497.4561244185625,1.0477720417036813
10,38,1499.504356694,1.049205192550723
10,39,1501.5737383731876,1.0506531416636953
10,40,1503.663915008,1.0521156410347732
