p,a_index,total_time,poa
5,0,2004.1394142079998,1.402299013401067
5,1,1664.842978661595,1.1648928462231973
5,2,1572.3981626704062,1.1002090855329678
5,3,1532.3765642148126,1.0722059198693699
5,4,1510.014944504,1.0565594648192782
5,5,1495.3646572298749,1.0463086393303407
5,6,1485.166827125,1.039173204043994
5,7,1477.22747498975,1.0336180287965153
5,8,1471.1586639276406,1.0293716736255223
5,9,1466.6522613710938,1.0262185377636985
5,10,1462.4485004504843,1.0232771606570192
5,11,1459.490312347625,1.0212073125073915
5,12,1456.69589384375,1.0192520541639682
5,13,1454.0625255220625,1.0174094828472002
5,14,1452.3950897890625,1.0162427758473185
5,15,1450.797246857,1.015124763022803
5,16,1449.2682133672813,1.0140548962566047
5,17,1447.8072118788125,1.0130326315721556
5,18,1446.4134708455,1.012057429117628
5,19,1445.74158349775,1.011587308646873
5,20,1444.4472993381876,1.010681696299175
5,21,1443.8247132999688,1.010246072020264
5,22,1442.6281829680624,1.0094088581557785
5,23,1442.0540516269532,1.0090071376928744
5,24,1441.4958854069375,1.0086165880464313
5,25,1440.9535916874688,1.0082371444097293
5,26,1440.427078208,1.0078687422279413
5,27,1439.9162530672813,1.0075113171976406
5,28,1439.4210247226563,1.0071648052663085
5,29,1438.9413019893593,1.0068291426318434
5,30,1438.4769940398126,1.0065042657420682
5,31,1438.0280104029218,1.0061901112942382
5,32,1437.594260963375,1.0058866162345494
5,33,1437.1756559609375,1.0055937177576464
5,34,1436.77210598975,1.0053113533061304
5,35,1436.77210598975,1.0053113533061304
5,36,1436.383521997625,1.0050394605700677
5,37,1436.0098152853436,1.0047779774864964
5,38,1436.0098152853436,1.0047779774864964
5,39,1435.650897505953,1.0045268422389366
5,40,1435.3066806640625,1.0042859932568962
6,0,2004.1394142079998,1.402299013401067
6,1,1570.9146699813787,1.099171083725577
6,2,1495.1737877178332,1.0461750876789302
6,3,1466.8248754305127,1.0263393160506311
6,4,1452.9152058481857,1.0166067017455827
6,5,1444.8847521345779,1.0109877826025722
6,6,1439.9741690583392,1.0075518410936055
6,7,1436.6487713234276,1.0052250558760834
6,8,1434.4748377471324,1.0037039516616628
6,9,1433.1128579471729,1.0027509725843513
6,10,1432.0757859765508,1.0020253319473182
6,11,1431.5055652046467,1.0016263477148875
6,12,1431.1089547504787,1.0013488388526588
6,13,1430.8821302373271,1.0011901294391556
6,14,1430.8233765319317,1.0011490193933545
6,15,1430.8373051608735,1.0011587652735487
6,16,1430.9228247734395,1.0012186034601926
6,17,1431.078855029732,1.0013277780380232
6,18,1431.304326544682,1.0014855407568855
6,19,1431.4427715730026,1.0015824109273177
6,20,1431.770423704842,1.0018116695597061
6,21,1431.9593702485004,1.0019438757075816
6,22,1432.3868579374903,1.0022429894120781
6,23,1432.6251425522903,1.0024097174739455
6,24,1432.8796177734068,1.002587774124584
6,25,1433.1501570026512,1.0027770707830732
6,26,1433.4366343055167,1.0029775193328707
6,27,1433.7389244094284,1.0031890321205894
6,28,1434.0569027019933,1.0034115219547723
6,29,1434.3904452292518,1.0036449021046692
6,30,1434.7394286939273,1.0038890862990113
6,31,1435.1037304536767,1.0041439887247883
6,32,1435.483228519341,1.0044095240260233
6,33,1435.8778015531962,1.0046856073025494
6,34,1436.2873288672015,1.0049721541087842
6,35,1436.2873288672015,1.0049721541087842
6,36,1436.711690421253,1.005269080452507
6,37,1437.1507668214315,1.0055763027936342
6,38,1437.1507668214315,1.0055763027936342
6,39,1437.604439318254,1.0058937380429942
6,40,1438.072589804924,1.0062213035611047
7,0,2004.1394142079998,1.402299013401067
7,1,1504.2665932909729,1.0525373358308634
7,2,1450.1720948557956,1.0146873433361787
7,3,1435.573340234767,1.0044725753131454
7,4,1431.193763516931,1.0014081796593317
7,5,1430.4262605269978,1.000871156796583
7,6,1431.2042278828544,1.0014155015900847
7,7,1432.7678245114757,1.0025095522305385
7,8,1434.6695000593493,1.0038401571403999
7,9,1436.5649533929766,1.0051664083586784
7,10,1438.7796769760914,1.006716053395117
7,11,1440.6430535721552,1.0080198604774637
7,12,1442.6743827755683,1.009441184222531
7,13,1444.8688382353978,1.0109766476261524
7,14,1446.4200932543613,1.0120620628259156
7,15,1448.040364104195,1.013195768494322
7,16,1449.7282895958654,1.0143768122055945
7,17,1451.4825266054615,1.0156042541741466
7,18,1453.3017499531866,1.016877167169912
7,19,1454.2353222619745,1.0175303889559169
7,20,1456.1495793597232,1.0188697971929581
7,21,1457.1299439383415,1.0195557595923919
7,22,1459.1363528476522,1.0209596465745345
7,23,1460.1620835268739,1.021677351694892
7,24,1461.2026243968326,1.0224054195254044
7,25,1462.2578213391303,1.023143742229223
7,26,1463.3275213114975,1.023892212722469
7,27,1464.4115723440113,1.0246507246715848
7,28,1465.5098235353137,1.0254191724906894
7,29,1466.62212504883,1.0261974513389325
7,30,1467.7483281089878,1.0269854571178483
7,31,1468.888284997435,1.027783086468709
7,32,1470.041849049258,1.0285902367698798
7,33,1471.2088746492002,1.0294068061341721
7,34,1472.389217227881,1.0302326934061978
7,35,1472.389217227881,1.0302326934061978
7,36,1473.5827332580143,1.0310677981597238
7,37,1474.7892802506249,1.0319120206950252
7,38,1474.7892802506249,1.0319120206950252
7,39,1476.00871675127,1.0327652620362398
7,40,1477.2409023362554,1.0336274239287222
8,0,2004.1394142079998,1.402299013401067
8,1,1460.8043193065384,1.0221267249240247
8,2,1431.2949401407016,1.0014789730775375
8,3,1431.3151298495504,1.001493099843669
8,4,1436.7264892427647,1.0052794352075998
8,5,1443.2535209920773,1.009846408002811
8,6,1449.6498293848256,1.0143219134915866
8,7,1455.9779881130169,1.0187497345694407
8,8,1461.80746022051,1.022828623955595
8,9,1466.813940407577,1.0263316648005407
8,10,1472.1096280063052,1.030037064456039
8,11,1476.2628045125623,1.032943047580724
8,12,1480.5651315594116,1.035953391537015
8,13,1485.0110529366896,1.0390642086372712
8,14,1488.0520947899288,1.0411920296662258
8,15,1491.1529757347648,1.0433617201871501
8,16,1494.3121522635367,1.0455722002056809
8,17,1497.528107705576,1.0478224085053343
8,18,1500.799351991276,1.050111302482425
8,19,1502.455249019414,1.0512699358351698
8,20,1505.8066902993091,1.0536149437557518
8,21,1507.501878404967,1.0548010691276901
8,22,1510.930311275691,1.0571999481667653
8,23,1512.6632095382804,1.0584124593856585
8,24,1514.4083340036825,1.0596335252949194
8,25,1516.1655153890683,1.0608630274471273
8,26,1517.9345859857024,1.0621008484962569
8,27,1519.7153796515684,1.0633468721925183
8,28,1521.5077318039976,1.0646009833771994
8,29,1523.3114794122955,1.0658630679775067
8,30,1525.1264609903697,1.0671330130014063
8,31,1526.9525165893556,1.068410706532465
8,32,1528.7894877902456,1.0696960377246927
8,33,1530.6372176965149,1.070988896797382
8,34,1532.4955509267488,1.0722891750299506
8,35,1532.4955509267488,1.0722891750299506
8,36,1534.3643336072707,1.0735967647567823
8,37,1536.243413364769,1.0749115593620682
8,38,1536.243413364769,1.0749115593620682
8,39,1538.1326393189229,1.0762334532746476
8,40,1540.031862075032,1.0775623419628495
9,0,2004.1394142079998,1.402299013401067
9,1,1436.8624878658075,1.0053745936250056
9,2,1433.262874419519,1.002855939309557
9,3,1447.8583664567298,1.013068424498354
9,4,1462.7347137763904,1.0234774245017875
9,5,1476.1668869903847,1.0328759339628968
9,6,1487.7985270967408,1.0410146080140859
9,7,1498.5106602460273,1.0485099018245723
9,8,1507.9160868103831,1.0550908912998103
9,9,1515.7306724083683,1.0605587672352392
9,10,1523.7863424741195,1.0661953302933793
9,11,1529.9773044721833,1.0705271546367068
9,12,1536.2894047843388,1.0749437396195047
9,13,1542.7167761380854,1.0794409799034013
9,14,1547.0629198292459,1.082481982423988
9,15,1551.4561348922864,1.0855559208460788
9,16,1555.8948240179677,1.0886616775302747
9,17,1560.3774265074305,1.0917981604535083
9,18,1564.9024178470431,1.094964302911564
9,19,1567.180342714916,1.0965581699709983
9,20,1571.766136975603,1.099766856313791
9,21,1574.0736473974084,1.1013814244246571
9,22,1578.717013680658,1.1046303939882012
9,23,1581.0525235426828,1.1062645533446251
